hospital_name,last_updated_on,version,hospital_location,hospital_address,license_number|AL,"To the best of its knowledge and belief, the hospital has included all applicable standard charge information in accordance with the requirements of 45 CFR 180.50, and the information encoded is true, accurate, and complete as of the date indicated.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grove Hill Memorial Hospital,8/1/2024,2.0.0,Grove Hill Memorial Hospital,"295 South Jackson Street, Grove Hill, AL 36451",63-0436871 | AL,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
description,code | 1,code |1| type,setting,drug_unit_of_measurement,drug_type_of_measurement,standard_charge|gross,standard_charge|discounted_cash,,modifiers,standard_charge|[BCBS]|[Alabama] |negotiated_dollar,standard_charge|[Medicare]|[Alabama] |negotiated_dollar,standard_charge|[Aetna]|[Alabama] | negotiated_dollar,standard_charge|[Cigna]|[Alabama] |negotiated_dollar,standard_charge|[Humana]|[Alabama] |negotiated_dollar,standard_charge|[Medicaid]|[Alabama] |negotiated_dollar,standard_charge|[BCBS]|[Alabama]|negotiated_percentage,standard_charge|[Medicare]|[Alabama]|negotiated_percentage,standard_charge|[Aetna]|[Alabama]|negotiated_percentage,standard_charge|[Cigna]|[Alabama]|negotiated_percentage,standard_charge|[Humana]|[Alabama]|negotiated_percentage,standard_charge|[Medicaid]|[Alabama]|negotiated_percentage,standard_charge|[BCBS]|[Alabama]|negotiated_algorithm,standard_charge|[Medicare]|[Alabama]|negotiated_algorithm,standard_charge|[Aetna]|[Alabama]|negotiated_algorithm,standard_charge|[Cigna]|[Alabama]|negotiated_algorithm,standard_charge|[Humana]|[Alabama]|negotiated_algorithm,standard_charge|[Medicaid]|[Alabama]|negotiated_algorithm,standard_charge|min,standard_charge|max,standard_charge|[BCBS] |[Alabama] |methodology,standard_charge|[Medicare] |[Alabama] |methodology,standard_charge|[Aetna] |[Alabama] |methodology,standard_charge|[Cigna] |[Alabama] |methodology,standard_charge|[Humana] |[Alabama] |methodology,standard_charge|[Medicaid] |[Alabama] |methodology,estimated_amount|[BCBS]|[Alabama],estimated_amount|[Medicare]|[Alabama],estimated_amount|[Aetna]|[Alabama],estimated_amount|[Cigna]|[Alabama],estimated_amount|[Humana]|[Alabama],estimated_amount|[Medicaid]|[Alabama],additional_generic_notes,additional_payer_notes|[BCBS]|[Alabama],additional_payer_notes|[Medicare]|[Alabama],additional_payer_notes|[Aetna]|[Alabama],additional_payer_notes|[Cigna]|[Alabama],additional_payer_notes|[Humana]|[Alabama],additional_payer_notes|[Medicaid]|[Alabama]
XR FACIAL BONES 2 VIEW,70140,CPT,Both,,,222,133,,TC,44.4,44.4,44.4,44.4,44.4,44.4,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,44.4,167,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,44.4,44.4,44.4,44.4,44.4,44.4,N/A,,,,,,
XR FOREARM 2 VIEWS,73090,CPT,Both,,,137,82,,"LT, RT",27.4,27.4,27.4,27.4,27.4,27.4,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,27.4,103,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,27.4,27.4,27.4,27.4,27.4,27.4,N/A,,,,,,
XR HIP BILATERAL,73523,CPT,Both,,,527,316,,,105.4,105.4,105.4,105.4,105.4,105.4,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,105.4,395,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,105.4,105.4,105.4,105.4,105.4,105.4,N/A,,,,,,
XR L SPINE 2 OR 3 VIEW,72100,CPT,Both,,,211,127,,,42.2,42.2,42.2,42.2,42.2,42.2,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,42.2,158,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,42.2,42.2,42.2,42.2,42.2,42.2,N/A,,,,,,
XR L SPINE 4 VIEWS OR,72110,CPT,Both,,,251,151,,,50.2,50.2,50.2,50.2,50.2,50.2,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,50.2,188,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,50.2,50.2,50.2,50.2,50.2,50.2,N/A,,,,,,
XR NASAL BONE COMPLETE,70160,CPT,Both,,,289,173,,,57.8,57.8,57.8,57.8,57.8,57.8,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,57.8,217,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,57.8,57.8,57.8,57.8,57.8,57.8,N/A,,,,,,
XR NECK SOFT TISSUE,70360,CPT,Both,,,252,151,,,50.4,50.4,50.4,50.4,50.4,50.4,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,50.4,189,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,50.4,50.4,50.4,50.4,50.4,50.4,N/A,,,,,,
XR RIBS BILATERAL,71110,CPT,Both,,,440,264,,,88,88,88,88,88,88,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,88,330,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,88,88,88,88,88,88,N/A,,,,,,
XR SACCRUM AND COCCYX,72220,CPT,Both,,,240,144,,,48,48,48,48,48,48,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,48,180,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,48,48,48,48,48,48,N/A,,,,,,
XR SACRO ILIAC JT 2 VI,72200,CPT,Both,,,197,118,,,39.4,39.4,39.4,39.4,39.4,39.4,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,39.4,148,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,39.4,39.4,39.4,39.4,39.4,39.4,N/A,,,,,,
XR SCOLIOSIS STANDING,72082,CPT,Both,,,351,211,,,70.2,70.2,70.2,70.2,70.2,70.2,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,70.2,263,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,70.2,70.2,70.2,70.2,70.2,70.2,N/A,,,,,,
XR SINUS MIN 3 VIEWS,70220,CPT,Both,,,192,115,,,38.4,38.4,38.4,38.4,38.4,38.4,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,38.4,144,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,38.4,38.4,38.4,38.4,38.4,38.4,N/A,,,,,,
XR SKULL 2-3 VIEWS,70250,CPT,Both,,,255,153,,,51,51,51,51,51,51,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,51,191,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,51,51,51,51,51,51,N/A,,,,,,
XR SKULL 4 VIEWS,70260,CPT,Both,,,455,273,,,91,91,91,91,91,91,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,91,341,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,91,91,91,91,91,91,N/A,,,,,,
XR SPINE LUMBAR COMPLE,72114,CPT,Both,,,484,290,,,96.8,96.8,96.8,96.8,96.8,96.8,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,96.8,363,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,96.8,96.8,96.8,96.8,96.8,96.8,N/A,,,,,,
XR STERNO CLAVICULAR J,71130,CPT,Both,,,215,129,,,43,43,43,43,43,43,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,43,161,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,43,43,43,43,43,43,N/A,,,,,,
XR STERNUM 2 VIEWS,71120,CPT,Both,,,285,171,,,57,57,57,57,57,57,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,57,214,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,57,57,57,57,57,57,N/A,,,,,,
XR SURVEY BONE LIMITED,77074,CPT,Both,,,377,226,,,75.4,75.4,75.4,75.4,75.4,75.4,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,75.4,283,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,75.4,75.4,75.4,75.4,75.4,75.4,N/A,,,,,,
XR T SPINE FOR SCOLIOS,72081,CPT,Both,,,299,179,,,59.8,59.8,59.8,59.8,59.8,59.8,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,59.8,224,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,59.8,59.8,59.8,59.8,59.8,59.8,N/A,,,,,,
XR THORACIC 2 VIEWS,72070,CPT,Both,,,150,90,,,30,30,30,30,30,30,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,30,113,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,30,30,30,30,30,30,N/A,,,,,,
XR THORACIC SPINE 3 VI,72072,CPT,Both,,,166,100,,,33.2,33.2,33.2,33.2,33.2,33.2,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,33.2,125,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,33.2,33.2,33.2,33.2,33.2,33.2,N/A,,,,,,
XR BABYGRAM,76010,CPT,Both,,,155,93,,,31,31,31,31,31,31,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,31,116,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,31,31,31,31,31,31,N/A,,,,,,
XR WRIST 2 VIEWS,73100,CPT,Both,,,287,172,,"LT, RT",57.4,57.4,57.4,57.4,57.4,57.4,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,57.4,215,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,57.4,57.4,57.4,57.4,57.4,57.4,N/A,,,,,,
XR ANKLE 2 VIEWS,73600,CPT,Both,,,279,167,,"LT, RT",55.8,55.8,55.8,55.8,55.8,55.8,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,55.8,209,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,55.8,55.8,55.8,55.8,55.8,55.8,N/A,,,,,,
XR ANKLE 3 OR MORE VIE,73610,CPT,Both,,,172,103,,"LT, RT",34.4,34.4,34.4,34.4,34.4,34.4,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,34.4,129,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,34.4,34.4,34.4,34.4,34.4,34.4,N/A,,,,,,
XR CLAVICLE COMPLETE,73000,CPT,Both,,,278,167,,"LT, RT",55.6,55.6,55.6,55.6,55.6,55.6,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,55.6,209,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,55.6,55.6,55.6,55.6,55.6,55.6,N/A,,,,,,
XR ELBOW 3 OR MORE VW,73080,CPT,Both,,,158,95,,"LT, RT",31.6,31.6,31.6,31.6,31.6,31.6,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,31.6,119,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,31.6,31.6,31.6,31.6,31.6,31.6,N/A,,,,,,
XR EXT LOWER INFANT MI,73592,CPT,Both,,,90,54,,"LT, RT",18,18,18,18,18,18,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,18,68,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,18,18,18,18,18,18,N/A,,,,,,
XR ELBOW 2 VIEWS,73070,CPT,Both,,,250,150,,"LT, RT",50,50,50,50,50,50,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,50,188,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,50,50,50,50,50,50,N/A,,,,,,
XR FEMUR AP LAT,73552,CPT,Both,,,152,91,,"LT, RT",30.4,30.4,30.4,30.4,30.4,30.4,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,30.4,114,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,30.4,30.4,30.4,30.4,30.4,30.4,N/A,,,,,,
XR FINGER(S),73140,CPT,Both,,,251,151,,"LT, RT",50.2,50.2,50.2,50.2,50.2,50.2,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,50.2,188,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,50.2,50.2,50.2,50.2,50.2,50.2,N/A,,,,,,
XR FOOT 2 VIEWS,73620,CPT,Both,,,150,90,,"LT, RT",30,30,30,30,30,30,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,30,113,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,30,30,30,30,30,30,N/A,,,,,,
XR FOOT COMPLETE,73630,CPT,Both,,,176,106,,"LT, RT",35.2,35.2,35.2,35.2,35.2,35.2,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,35.2,132,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,35.2,35.2,35.2,35.2,35.2,35.2,N/A,,,,,,
XR HAND 2 VIEWS,73120,CPT,Both,,,305,183,,"LT, RT",61,61,61,61,61,61,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,61,229,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,61,61,61,61,61,61,N/A,,,,,,
XR HAND 3 VIEWS,73130,CPT,Both,,,157,94,,"LT, RT",31.4,31.4,31.4,31.4,31.4,31.4,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,31.4,118,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,31.4,31.4,31.4,31.4,31.4,31.4,N/A,,,,,,
XR HEEL OSCALSIS  2,73650,CPT,Both,,,231,139,,"LT, RT",46.2,46.2,46.2,46.2,46.2,46.2,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,46.2,173,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,46.2,46.2,46.2,46.2,46.2,46.2,N/A,,,,,,
XR HIP UNILAT 1 VIEW,73501,CPT,Both,,,228,137,,"LT, RT",45.6,45.6,45.6,45.6,45.6,45.6,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,45.6,171,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,45.6,45.6,45.6,45.6,45.6,45.6,N/A,,,,,,
XR HIP UNILAT COMP 2 V,73502,CPT,Both,,,199,119,,"LT, RT",39.8,39.8,39.8,39.8,39.8,39.8,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,39.8,149,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,39.8,39.8,39.8,39.8,39.8,39.8,N/A,,,,,,
XR HUMERUS AP LAT,73060,CPT,Both,,,167,100,,"LT, RT",33.4,33.4,33.4,33.4,33.4,33.4,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,33.4,125,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,33.4,33.4,33.4,33.4,33.4,33.4,N/A,,,,,,
XR KNEE 1 OR 2 VIEWS,73560,CPT,Both,,,147,88,,"LT, RT",29.4,29.4,29.4,29.4,29.4,29.4,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,29.4,110,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,29.4,29.4,29.4,29.4,29.4,29.4,N/A,,,,,,
XR KNEE 3 VIEWS,73562,CPT,Both,,,143,86,,"LT, RT",28.6,28.6,28.6,28.6,28.6,28.6,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,28.6,107,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,28.6,28.6,28.6,28.6,28.6,28.6,N/A,,,,,,
XR KNEE 4 VIEWS OR MOR,73564,CPT,Both,,,223,134,,"LT, RT",44.6,44.6,44.6,44.6,44.6,44.6,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,44.6,167,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,44.6,44.6,44.6,44.6,44.6,44.6,N/A,,,,,,
XR TIBIA FIB LT,73590,CPT,Both,,,151,91,,"LT, RT",30.2,30.2,30.2,30.2,30.2,30.2,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,30.2,113,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,30.2,30.2,30.2,30.2,30.2,30.2,N/A,,,,,,
XR PELVIS COMP 3 VIEWS,72190,CPT,Both,,,379,227,,"LT, RT",75.8,75.8,75.8,75.8,75.8,75.8,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,75.8,284,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,75.8,75.8,75.8,75.8,75.8,75.8,N/A,,,,,,
XR RIBS UNILATERAL 3 V,71101,CPT,Both,,,226,136,,"LT, RT",45.2,45.2,45.2,45.2,45.2,45.2,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,45.2,170,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,45.2,45.2,45.2,45.2,45.2,45.2,N/A,,,,,,
XR RIBS UNILATERAL,71100,CPT,Both,,,222,133,,"LT, RT",44.4,44.4,44.4,44.4,44.4,44.4,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,44.4,167,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,44.4,44.4,44.4,44.4,44.4,44.4,N/A,,,,,,
XR SCAPULA COMPLETE,73010,CPT,Both,,,252,151,,"LT, RT",50.4,50.4,50.4,50.4,50.4,50.4,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,50.4,189,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,50.4,50.4,50.4,50.4,50.4,50.4,N/A,,,,,,
XR SHOULDER 1 VIEW,73020,CPT,Both,,,308,185,,"LT, RT",61.6,61.6,61.6,61.6,61.6,61.6,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,61.6,231,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,61.6,61.6,61.6,61.6,61.6,61.6,N/A,,,,,,
XR SHOULDER COMPLETE,73030,CPT,Both,,,200,120,,"LT, RT",40,40,40,40,40,40,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,40,150,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,40,40,40,40,40,40,N/A,,,,,,
XR TOE 2 PLUS VIEWS,73660,CPT,Both,,,245,147,,"LT, RT",49,49,49,49,49,49,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,49,184,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,49,49,49,49,49,49,N/A,,,,,,
XR WRIST COMPLETE,73110,CPT,Both,,,200,120,,"LT, RT",40,40,40,40,40,40,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,40,150,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,40,40,40,40,40,40,N/A,,,,,,
XR PELVIS  AP,72170,CPT,Both,,,131,79,,"LT, RT",26.2,26.2,26.2,26.2,26.2,26.2,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,26.2,98,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,26.2,26.2,26.2,26.2,26.2,26.2,N/A,,,,,,
XR SURVEY BONE COMPLET,77075,CPT,Both,,,486,292,,,97.2,97.2,97.2,97.2,97.2,97.2,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,97.2,365,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,97.2,97.2,97.2,97.2,97.2,97.2,N/A,,,,,,
MA DIGITAL MAMMO SCREE,77067,CPT,Outpatient,,,376,226,,,75.2,75.2,75.2,75.2,75.2,75.2,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,75.2,282,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,75.2,75.2,75.2,75.2,75.2,75.2,N/A,,,,,,
MA DIGITAL MAMMO DIAG,77066,CPT,Outpatient,,,490,294,,,98,98,98,98,98,98,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,98,368,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,98,98,98,98,98,98,N/A,,,,,,
MA DIGITAL MAMMO DIAG,77065,CPT,Outpatient,,,332,199,,"LT, RT",66.4,66.4,66.4,66.4,66.4,66.4,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,66.4,249,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,66.4,66.4,66.4,66.4,66.4,66.4,N/A,,,,,,
US ABDOMEN COMPLETE,76700,CPT,Both,,,548,329,,,109.6,109.6,109.6,109.6,109.6,109.6,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,109.6,411,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,109.6,109.6,109.6,109.6,109.6,109.6,N/A,,,,,,
US ARTERIAL DOPPLER LO,93925,CPT,Both,,,611,367,,,122.2,122.2,122.2,122.2,122.2,122.2,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,122.2,458,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,122.2,122.2,122.2,122.2,122.2,122.2,N/A,,,,,,
US ARTERIAL DOPPLER LO,93926,CPT,Both,,,485,291,,,97,97,97,97,97,97,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,97,364,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,97,97,97,97,97,97,N/A,,,,,,
US BREAST,76641,CPT,Both,,,315,189,,50,63,63,63,63,63,63,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,63,236,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,63,63,63,63,63,63,N/A,,,,,,
US CAROTID DOPPLER BIL,93880,CPT,Both,,,575,345,,,115,115,115,115,115,115,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,115,431,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,115,115,115,115,115,115,N/A,,,,,,
US CAROTID DOPPLER UNI,93882,CPT,Both,,,525,315,,,105,105,105,105,105,105,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,105,394,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,105,105,105,105,105,105,N/A,,,,,,
US SOFT TISSUE NON VAS,76881,CPT,Both,,,542,325,,,108.4,108.4,108.4,108.4,108.4,108.4,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,108.4,407,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,108.4,108.4,108.4,108.4,108.4,108.4,N/A,,,,,,
