hospital_name,last_updated_on,version,hospital_location,hospital_address,license_number|CA,"To the best of its knowledge and belief, the hospital has included all applicable standard charge information in accordance with the requirements of 45 CFR 180.50, and the information encoded is true, accurate, and complete as of the date indicated.",general_contract_provisions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lake Martin Community Hospital,1/9/2025,1.0.0,Lake Martin Community Hospital,"201 Mariarden Rd, Dadeville, AL 36853",H6202,TRUE,"When total claim charges exceed $200,000.00 for a Platform Health Insurance plan, the entire claim will be reimbursed at 50% of charges. This amount will supersede any other contracted rate that would otherwise apply. When total claim charges exceed $250,000.00 for a Region Health Insurance plan, the entire claim will be reimbursed at 45% of charges. This amount will supersede any other contracted rate that would otherwise apply.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
description,code|1,code|1|type,code|2,code|2|type,modifiers,setting,drug_unit_of_measurement,drug_type_of_measurement,standard_charge|gross,standard_charge|discounted_cash,standard_charge|MEDICARE|negotiated_dollar,standard_charge|MEDICARE|negotiated_percentage,standard_charge|MEDICARE|negotiated_algorithm,estimated_amount|MEDICARE|,standard_charge|MEDICARE|methodology,additional_payer_notes|MEDICARE|,standard_charge|TRICARE|ALL PLANS|negotiated_dollar,standard_charge|TRICARE|ALL PLANS|negotiated_percentage,standard_charge|TRICARE|ALL PLANS|negotiated_algorithm,estimated_amount|TRICARE|ALL PLANS,standard_charge|TRICARE|ALL PLANS|methodology,additional_payer_notes|TRICARE|ALL PLANS,standard_charge|MEDICAID|negotiated_dollar,standard_charge|MEDICAID|negotiated_percentage,standard_charge|MEDICAID|negotiated_algorithm,estimated_amount|MEDICAID|,standard_charge|MEDICAID|methodology,additional_payer_notes|MEDICAID|,standard_charge|VIVA MEDICARE ALL PLANS|negotiated_dollar,standard_charge|VIVA MEDICARE ALL PLANS|negotiated_percentage,standard_charge|VIVA MEDICARE ALL PLANS|negotiated_algorithm,estimated_amount|VIVA MEDICARE ALL PLANS|,standard_charge|VIVA MEDICARE ALL PLANS|methodology,additional_payer_notes|VIVA MEDICARE ALL PLANS|,standard_charge|HUMANA ALL PLANS|negotiated_dollar,standard_charge|HUMANA ALL PLANS|negotiated_percentage,standard_charge|HUMANA ALL PLANS|negotiated_algorithm,estimated_amount|HUMANA ALL PLANS|,standard_charge|HUMANA ALL PLANS|methodology,additional_payer_notes|HUMANA ALL PLANS|,standard_charge|min,standard_charge|max,additional_generic_notes
"LAC SIMPLE 7.6-12.5 CM  FACE,EARS,NOSE",12015,CPT,,,,BOTH,,,237,118.5,180.58,,,,FEE SCHEDULE,,162.52,,,,FEE SCHEDULE,,,,,,FEE SCHEDULE,,180.58,,,,FEE SCHEDULE,,,85,,201.45,PERCENTAGE OF TOTAL BILLED CHARGES,,162.52,180.58,
LAC. SIMPLE 12.6-20 CM,12016,CPT,,,,BOTH,,,321,160.5,373.07,,,,FEE SCHEDULE,,335.76,,,,FEE SCHEDULE,,383.49,,,,FEE SCHEDULE,,373.07,,,,FEE SCHEDULE,,,85,,272.85,PERCENTAGE OF TOTAL BILLED CHARGES,,335.76,383.49,
ER CLOSURE >2.5CM ER,12031,CPT,,,,BOTH,,,365,182.5,373.07,,,,FEE SCHEDULE,,335.76,,,,FEE SCHEDULE,,,,,,FEE SCHEDULE,,373.07,,,,FEE SCHEDULE,,,85,,310.25,PERCENTAGE OF TOTAL BILLED CHARGES,,335.76,373.07,
LAC LAY SCALP >2.5,12031,CPT,,,,BOTH,,,365,182.5,373.07,,,,FEE SCHEDULE,,335.76,,,,FEE SCHEDULE,,,,,,FEE SCHEDULE,,373.07,,,,FEE SCHEDULE,,,85,,310.25,PERCENTAGE OF TOTAL BILLED CHARGES,,335.76,373.07,
LAC INTER EXT SC,12031,CPT,,,,BOTH,,,365,182.5,373.07,,,,FEE SCHEDULE,,335.76,,,,FEE SCHEDULE,,,,,,FEE SCHEDULE,,373.07,,,,FEE SCHEDULE,,,85,,310.25,PERCENTAGE OF TOTAL BILLED CHARGES,,335.76,373.07,
LAYER CLOSURE 2.6-7.5 CM ER,12032,CPT,,,,BOTH,,,459,229.5,373.07,,,,FEE SCHEDULE,,335.76,,,,FEE SCHEDULE,,286.51,,,,FEE SCHEDULE,,373.07,,,,FEE SCHEDULE,,,85,,390.15,PERCENTAGE OF TOTAL BILLED CHARGES,,286.51,373.07,
LAC SCALP 2.6-7.5,12032,CPT,,,,BOTH,,,459,229.5,373.07,,,,FEE SCHEDULE,,335.76,,,,FEE SCHEDULE,,286.51,,,,FEE SCHEDULE,,373.07,,,,FEE SCHEDULE,,,85,,390.15,PERCENTAGE OF TOTAL BILLED CHARGES,,286.51,373.07,
LAC EXT 2.5 TO 7.5,12032,CPT,,,,BOTH,,,459,229.5,373.07,,,,FEE SCHEDULE,,335.76,,,,FEE SCHEDULE,,286.51,,,,FEE SCHEDULE,,373.07,,,,FEE SCHEDULE,,,85,,390.15,PERCENTAGE OF TOTAL BILLED CHARGES,,286.51,373.07,
LAYER CLOSURE 7.6-12.5CM ER,12034,CPT,,,,BOTH,,,480,240,373.07,,,,FEE SCHEDULE,,335.76,,,,FEE SCHEDULE,,286.51,,,,FEE SCHEDULE,,373.07,,,,FEE SCHEDULE,,,85,,408,PERCENTAGE OF TOTAL BILLED CHARGES,,286.51,373.07,
LAC SCALP 7.6-12.5,12034,CPT,,,,BOTH,,,498,249,373.07,,,,FEE SCHEDULE,,335.76,,,,FEE SCHEDULE,,286.51,,,,FEE SCHEDULE,,373.07,,,,FEE SCHEDULE,,,85,,423.3,PERCENTAGE OF TOTAL BILLED CHARGES,,286.51,373.07,
LAC EXT 7.5 TO 12,12034,CPT,,,,BOTH,,,480,240,373.07,,,,FEE SCHEDULE,,335.76,,,,FEE SCHEDULE,,286.51,,,,FEE SCHEDULE,,373.07,,,,FEE SCHEDULE,,,85,,408,PERCENTAGE OF TOTAL BILLED CHARGES,,286.51,373.07,
LAYER CLOSURE 12.6-20CM -ER,12035,CPT,,,,BOTH,,,582,291,373.07,,,,FEE SCHEDULE,,335.76,,,,FEE SCHEDULE,,286.51,,,,FEE SCHEDULE,,373.07,,,,FEE SCHEDULE,,,85,,494.7,PERCENTAGE OF TOTAL BILLED CHARGES,,286.51,373.07,
LAC EXT 12.5 TO 20,12035,CPT,,,,BOTH,,,582,291,373.07,,,,FEE SCHEDULE,,335.76,,,,FEE SCHEDULE,,286.51,,,,FEE SCHEDULE,,373.07,,,,FEE SCHEDULE,,,85,,494.7,PERCENTAGE OF TOTAL BILLED CHARGES,,286.51,373.07,
LAYER CLOSURE >30CM INTERMEDIATE REPAIR,12037,CPT,,,,BOTH,,,798,399,1725.86,,,,FEE SCHEDULE,,1553.27,,,,FEE SCHEDULE,,383.49,,,,FEE SCHEDULE,,1725.86,,,,FEE SCHEDULE,,,85,,678.3,PERCENTAGE OF TOTAL BILLED CHARGES,,383.49,1725.86,
LAC REPAIR >30CM INTERMEDIATE REPAIR,12037,CPT,,,,BOTH,,,798,399,1725.86,,,,FEE SCHEDULE,,1553.27,,,,FEE SCHEDULE,,383.49,,,,FEE SCHEDULE,,1725.86,,,,FEE SCHEDULE,,,85,,678.3,PERCENTAGE OF TOTAL BILLED CHARGES,,383.49,1725.86,
LAYER CLOSURE >2.5 CM-ER,12041,CPT,,,,BOTH,,,356,178,373.07,,,,FEE SCHEDULE,,335.76,,,,FEE SCHEDULE,,286.51,,,,FEE SCHEDULE,,373.07,,,,FEE SCHEDULE,,,85,,302.6,PERCENTAGE OF TOTAL BILLED CHARGES,,286.51,373.07,
LAC HANDS UP TO 2.5,12041,CPT,,,,BOTH,,,356,178,373.07,,,,FEE SCHEDULE,,335.76,,,,FEE SCHEDULE,,286.51,,,,FEE SCHEDULE,,373.07,,,,FEE SCHEDULE,,,85,,302.6,PERCENTAGE OF TOTAL BILLED CHARGES,,286.51,373.07,
LAC NECK HANDS FEE,12041,CPT,,,,BOTH,,,355,177.5,373.07,,,,FEE SCHEDULE,,335.76,,,,FEE SCHEDULE,,286.51,,,,FEE SCHEDULE,,373.07,,,,FEE SCHEDULE,,,85,,301.75,PERCENTAGE OF TOTAL BILLED CHARGES,,286.51,373.07,
LAYER CLOSURE 2.6-7.5 CM -ER,12042,CPT,,,,BOTH,,,475,237.5,373.07,,,,FEE SCHEDULE,,335.76,,,,FEE SCHEDULE,,286.51,,,,FEE SCHEDULE,,373.07,,,,FEE SCHEDULE,,,85,,403.75,PERCENTAGE OF TOTAL BILLED CHARGES,,286.51,373.07,
LAC HANDS 2.6-7.5,12042,CPT,,,,BOTH,,,475,237.5,373.07,,,,FEE SCHEDULE,,335.76,,,,FEE SCHEDULE,,286.51,,,,FEE SCHEDULE,,373.07,,,,FEE SCHEDULE,,,85,,403.75,PERCENTAGE OF TOTAL BILLED CHARGES,,286.51,373.07,
LAC NECK HANDS F,12042,CPT,,,,BOTH,,,475,237.5,373.07,,,,FEE SCHEDULE,,335.76,,,,FEE SCHEDULE,,286.51,,,,FEE SCHEDULE,,373.07,,,,FEE SCHEDULE,,,85,,403.75,PERCENTAGE OF TOTAL BILLED CHARGES,,286.51,373.07,
LAYER CLOSURE 7.6-12.5 CM- ER,12044,CPT,,,,BOTH,,,519,259.5,580.95,,,,FEE SCHEDULE,,522.86,,,,FEE SCHEDULE,,286.51,,,,FEE SCHEDULE,,580.95,,,,FEE SCHEDULE,,,85,,441.15,PERCENTAGE OF TOTAL BILLED CHARGES,,286.51,580.95,
LAC HANDS 7.6-12.5,12044,CPT,,,,BOTH,,,518,259,580.95,,,,FEE SCHEDULE,,522.86,,,,FEE SCHEDULE,,286.51,,,,FEE SCHEDULE,,580.95,,,,FEE SCHEDULE,,,85,,440.3,PERCENTAGE OF TOTAL BILLED CHARGES,,286.51,580.95,
LAC NECK HANDS F,12044,CPT,,,,BOTH,,,518,259,580.95,,,,FEE SCHEDULE,,522.86,,,,FEE SCHEDULE,,286.51,,,,FEE SCHEDULE,,580.95,,,,FEE SCHEDULE,,,85,,440.3,PERCENTAGE OF TOTAL BILLED CHARGES,,286.51,580.95,
LAYER CLOSURE >2.5CM-ER,12051,CPT,,,,BOTH,,,408,204,373.07,,,,FEE SCHEDULE,,335.76,,,,FEE SCHEDULE,,,,,,FEE SCHEDULE,,373.07,,,,FEE SCHEDULE,,,85,,346.8,PERCENTAGE OF TOTAL BILLED CHARGES,,335.76,373.07,
LAC FACE UP TO 2.5,12051,CPT,,,,BOTH,,,408,204,373.07,,,,FEE SCHEDULE,,335.76,,,,FEE SCHEDULE,,,,,,FEE SCHEDULE,,373.07,,,,FEE SCHEDULE,,,85,,346.8,PERCENTAGE OF TOTAL BILLED CHARGES,,335.76,373.07,
MUCOUS MEM FACE E,12051,CPT,,,,BOTH,,,408,204,373.07,,,,FEE SCHEDULE,,335.76,,,,FEE SCHEDULE,,,,,,FEE SCHEDULE,,373.07,,,,FEE SCHEDULE,,,85,,346.8,PERCENTAGE OF TOTAL BILLED CHARGES,,335.76,373.07,
LAYER CLOSURE 2.6-7.5CM -ER,12052,CPT,,,,BOTH,,,484,242,373.07,,,,FEE SCHEDULE,,335.76,,,,FEE SCHEDULE,,286.51,,,,FEE SCHEDULE,,373.07,,,,FEE SCHEDULE,,,85,,411.4,PERCENTAGE OF TOTAL BILLED CHARGES,,286.51,373.07,
MUCOUS MEM FACE,12052,CPT,,,,BOTH,,,484,242,373.07,,,,FEE SCHEDULE,,335.76,,,,FEE SCHEDULE,,286.51,,,,FEE SCHEDULE,,373.07,,,,FEE SCHEDULE,,,85,,411.4,PERCENTAGE OF TOTAL BILLED CHARGES,,286.51,373.07,
LAYER CLOSURE 7.6-12.5CM -ER,12053,CPT,,,,BOTH,,,522,261,373.07,,,,FEE SCHEDULE,,335.76,,,,FEE SCHEDULE,,286.51,,,,FEE SCHEDULE,,373.07,,,,FEE SCHEDULE,,,85,,443.7,PERCENTAGE OF TOTAL BILLED CHARGES,,286.51,373.07,
LAC HANDS 5.1-7.5,12053,CPT,,,,BOTH,,,522,261,373.07,,,,FEE SCHEDULE,,335.76,,,,FEE SCHEDULE,,286.51,,,,FEE SCHEDULE,,373.07,,,,FEE SCHEDULE,,,85,,443.7,PERCENTAGE OF TOTAL BILLED CHARGES,,286.51,373.07,
LAC FACE 5.1-7.5 C,12053,CPT,,,,BOTH,,,522,261,373.07,,,,FEE SCHEDULE,,335.76,,,,FEE SCHEDULE,,286.51,,,,FEE SCHEDULE,,373.07,,,,FEE SCHEDULE,,,85,,443.7,PERCENTAGE OF TOTAL BILLED CHARGES,,286.51,373.07,
MUCOUS MEM FACE E,12053,CPT,,,,BOTH,,,522,261,373.07,,,,FEE SCHEDULE,,335.76,,,,FEE SCHEDULE,,286.51,,,,FEE SCHEDULE,,373.07,,,,FEE SCHEDULE,,,85,,443.7,PERCENTAGE OF TOTAL BILLED CHARGES,,286.51,373.07,
LAYER CLOSURE >6-12.5CM -ER,12054,CPT,,,,BOTH,,,536,268,373.07,,,,FEE SCHEDULE,,335.76,,,,FEE SCHEDULE,,286.51,,,,FEE SCHEDULE,,373.07,,,,FEE SCHEDULE,,,85,,455.6,PERCENTAGE OF TOTAL BILLED CHARGES,,286.51,373.07,
LAC FACE 7.6-12.5,12054,CPT,,,,BOTH,,,535,267.5,373.07,,,,FEE SCHEDULE,,335.76,,,,FEE SCHEDULE,,286.51,,,,FEE SCHEDULE,,373.07,,,,FEE SCHEDULE,,,85,,454.75,PERCENTAGE OF TOTAL BILLED CHARGES,,286.51,373.07,
MUCOUS MEM FACE E,12054,CPT,,,,BOTH,,,536,268,373.07,,,,FEE SCHEDULE,,335.76,,,,FEE SCHEDULE,,286.51,,,,FEE SCHEDULE,,373.07,,,,FEE SCHEDULE,,,85,,455.6,PERCENTAGE OF TOTAL BILLED CHARGES,,286.51,373.07,
REPAIR COMPLX TRUNK 1.1CM TO 2.5CM ER,13100,CPT,,,,BOTH,,,480,240,580.95,,,,FEE SCHEDULE,,522.86,,,,FEE SCHEDULE,,286.51,,,,FEE SCHEDULE,,580.95,,,,FEE SCHEDULE,,,85,,408,PERCENTAGE OF TOTAL BILLED CHARGES,,286.51,580.95,
REPAIR COMPLX TRUNK 1.1 CM TO 2.5 CM-PHY,13100,CPT,,,,BOTH,,,480,240,580.95,,,,FEE SCHEDULE,,522.86,,,,FEE SCHEDULE,,286.51,,,,FEE SCHEDULE,,580.95,,,,FEE SCHEDULE,,,85,,408,PERCENTAGE OF TOTAL BILLED CHARGES,,286.51,580.95,
REPAIR COMPLX TRUNK 2.6CM TO 7.5CM ER,13101,CPT,,,,BOTH,,,593,296.5,580.95,,,,FEE SCHEDULE,,522.86,,,,FEE SCHEDULE,,440.8,,,,FEE SCHEDULE,,580.95,,,,FEE SCHEDULE,,,85,,504.05,PERCENTAGE OF TOTAL BILLED CHARGES,,440.8,580.95,
REPAIR COMPLX TRUNK 2.6 CM TO 7.5 CM-PHY,13101,CPT,,,,BOTH,,,593,296.5,580.95,,,,FEE SCHEDULE,,522.86,,,,FEE SCHEDULE,,440.8,,,,FEE SCHEDULE,,580.95,,,,FEE SCHEDULE,,,85,,504.05,PERCENTAGE OF TOTAL BILLED CHARGES,,440.8,580.95,
REPAIR COMPLX TRUNK EACH ADD 5CM/LESS ER,13102,CPT,,,,BOTH,,,176,88,67.37,,,,FEE SCHEDULE,,60.63,,,,FEE SCHEDULE,,,,,,FEE SCHEDULE,,67.37,,,,FEE SCHEDULE,,,85,,149.6,PERCENTAGE OF TOTAL BILLED CHARGES,,60.63,88,
REPAIR COMPLX TRUNK EACH ADD 5CM OR LESS,13102,CPT,,,,BOTH,,,176,88,67.37,,,,FEE SCHEDULE,,60.63,,,,FEE SCHEDULE,,,,,,FEE SCHEDULE,,67.37,,,,FEE SCHEDULE,,,85,,149.6,PERCENTAGE OF TOTAL BILLED CHARGES,,60.63,88,
LAC. COMPLEX 1.1-2.5CM -ER,13120,CPT,,,,BOTH,,,562,281,580.95,,,,FEE SCHEDULE,,522.86,,,,FEE SCHEDULE,,286.51,,,,FEE SCHEDULE,,580.95,,,,FEE SCHEDULE,,,85,,477.7,PERCENTAGE OF TOTAL BILLED CHARGES,,286.51,580.95,
LAC REPAIR COMPLEX,13120,CPT,,,,BOTH,,,562,281,580.95,,,,FEE SCHEDULE,,522.86,,,,FEE SCHEDULE,,286.51,,,,FEE SCHEDULE,,580.95,,,,FEE SCHEDULE,,,85,,477.7,PERCENTAGE OF TOTAL BILLED CHARGES,,286.51,580.95,
LAC. COMPLEX  2.6-7.5 CM-ER,13121,CPT,,,,BOTH,,,635,317.5,580.95,,,,FEE SCHEDULE,,522.86,,,,FEE SCHEDULE,,440.8,,,,FEE SCHEDULE,,580.95,,,,FEE SCHEDULE,,,85,,539.75,PERCENTAGE OF TOTAL BILLED CHARGES,,440.8,580.95,
LAC REPAIR COMPLEX 2.6-7.5cm,13121,CPT,,,,BOTH,,,635,317.5,580.95,,,,FEE SCHEDULE,,522.86,,,,FEE SCHEDULE,,440.8,,,,FEE SCHEDULE,,580.95,,,,FEE SCHEDULE,,,85,,539.75,PERCENTAGE OF TOTAL BILLED CHARGES,,440.8,580.95,
LAC. COMPLEX  each add 5 cm,13122,CPT,,,,BOTH,,,205,102.5,77.88,,,,FEE SCHEDULE,,70.09,,,,FEE SCHEDULE,,,,,,FEE SCHEDULE,,77.88,,,,FEE SCHEDULE,,,85,,174.25,PERCENTAGE OF TOTAL BILLED CHARGES,,70.09,102.5,
LAC REPAIR COMPLEX each add 5cm,13122,CPT,,,,BOTH,,,205,102.5,77.88,,,,FEE SCHEDULE,,70.09,,,,FEE SCHEDULE,,,,,,FEE SCHEDULE,,77.88,,,,FEE SCHEDULE,,,85,,174.25,PERCENTAGE OF TOTAL BILLED CHARGES,,70.09,102.5,
LAC COMPLEX 1.1-2.5CM,13131,CPT,,,,BOTH,,,595,297.5,373.07,,,,FEE SCHEDULE,,335.76,,,,FEE SCHEDULE,,383.49,,,,FEE SCHEDULE,,373.07,,,,FEE SCHEDULE,,,85,,505.75,PERCENTAGE OF TOTAL BILLED CHARGES,,335.76,383.49,
LAC COMPLEX FOREH,13131,CPT,,,,BOTH,,,595,297.5,373.07,,,,FEE SCHEDULE,,335.76,,,,FEE SCHEDULE,,383.49,,,,FEE SCHEDULE,,373.07,,,,FEE SCHEDULE,,,85,,505.75,PERCENTAGE OF TOTAL BILLED CHARGES,,335.76,383.49,
LAC. COMPLEX 2.6-7.5CM -ER,13132,CPT,,,,BOTH,,,747,373.5,580.95,,,,FEE SCHEDULE,,522.86,,,,FEE SCHEDULE,,440.8,,,,FEE SCHEDULE,,580.95,,,,FEE SCHEDULE,,,85,,634.95,PERCENTAGE OF TOTAL BILLED CHARGES,,440.8,580.95,
LAC COMPLEX 2.6 TO,13132,CPT,,,,BOTH,,,747,373.5,580.95,,,,FEE SCHEDULE,,522.86,,,,FEE SCHEDULE,,440.8,,,,FEE SCHEDULE,,580.95,,,,FEE SCHEDULE,,,85,,634.95,PERCENTAGE OF TOTAL BILLED CHARGES,,440.8,580.95,
LAC COMPLEX - ER 1.1-2.5CM -ER,13151,CPT,,,,BOTH,,,684,342,580.95,,,,FEE SCHEDULE,,522.86,,,,FEE SCHEDULE,,383.49,,,,FEE SCHEDULE,,580.95,,,,FEE SCHEDULE,,,85,,581.4,PERCENTAGE OF TOTAL BILLED CHARGES,,383.49,580.95,
LAC REPAIR COMPLEX,13151,CPT,,,,BOTH,,,684,342,580.95,,,,FEE SCHEDULE,,522.86,,,,FEE SCHEDULE,,343.49,,,,FEE SCHEDULE,,580.95,,,,FEE SCHEDULE,,,85,,581.4,PERCENTAGE OF TOTAL BILLED CHARGES,,343.49,580.95,
LAC COMP ER  2.6-7.5 EYELIDS NOSE LIPS,13152,CPT,,,,BOTH,,,825,412.5,580.95,,,,FEE SCHEDULE,,522.86,,,,FEE SCHEDULE,,440.8,,,,FEE SCHEDULE,,580.95,,,,FEE SCHEDULE,,,85,,701.25,PERCENTAGE OF TOTAL BILLED CHARGES,,440.8,580.95,
LAC COMP  PROFEE 6-7.5 EYELIDS NOSE LIPS,13152,CPT,,,,BOTH,,,825,412.5,580.95,,,,FEE SCHEDULE,,522.86,,,,FEE SCHEDULE,,440.8,,,,FEE SCHEDULE,,580.95,,,,FEE SCHEDULE,,,85,,701.25,PERCENTAGE OF TOTAL BILLED CHARGES,,440.8,580.95,
"SURGIGRAFT APPLICATION TRUNK, ARMS, LEGS",15271,CPT,,,,BOTH,,,200,100,1725.86,,,,FEE SCHEDULE,,1553.27,,,,FEE SCHEDULE,,286.51,,,,FEE SCHEDULE,,1725.86,,,,FEE SCHEDULE,,,85,,170,PERCENTAGE OF TOTAL BILLED CHARGES,,286.51,1725.86,
BURNS IN TX 1ST DEGREE -ER,16000,CPT,,,,BOTH,,,114,57,180.58,,,,FEE SCHEDULE,,162.52,,,,FEE SCHEDULE,,,,,,FEE SCHEDULE,,180.58,,,,FEE SCHEDULE,,,85,,96.9,PERCENTAGE OF TOTAL BILLED CHARGES,,162.52,180.58,
BURNS IN TX 1ST DE,16000,CPT,,,,BOTH,,,114,57,180.58,,,,FEE SCHEDULE,,162.52,,,,FEE SCHEDULE,,,,,,FEE SCHEDULE,,180.58,,,,FEE SCHEDULE,,,85,,96.9,PERCENTAGE OF TOTAL BILLED CHARGES,,162.52,180.58,
BURNS INIT TREAT,16000,CPT,,,,BOTH,,,114,57,180.58,,,,FEE SCHEDULE,,162.52,,,,FEE SCHEDULE,,,,,,FEE SCHEDULE,,180.58,,,,FEE SCHEDULE,,,85,,96.9,PERCENTAGE OF TOTAL BILLED CHARGES,,162.52,180.58,
BURNS DRESS-DEB/SMALL 5%BODY,16020,CPT,,,,BOTH,,,130,65,180.58,,,,FEE SCHEDULE,,162.52,,,,FEE SCHEDULE,,286.51,,,,FEE SCHEDULE,,180.58,,,,FEE SCHEDULE,,,85,,110.5,PERCENTAGE OF TOTAL BILLED CHARGES,,162.52,286.51,
BURNS DRESS-DEB/ SMALL 5% OF  BODY,16020,CPT,,,,BOTH,,,130,65,180.58,,,,FEE SCHEDULE,,162.52,,,,FEE SCHEDULE,,286.51,,,,FEE SCHEDULE,,180.58,,,,FEE SCHEDULE,,,85,,110.5,PERCENTAGE OF TOTAL BILLED CHARGES,,162.52,286.51,
DEBRIDEMENT SMALL BURNS 5% BODY,16020,CPT,,,,BOTH,,,68,34,180.58,,,,FEE SCHEDULE,,162.52,,,,FEE SCHEDULE,,286.51,,,,FEE SCHEDULE,,180.58,,,,FEE SCHEDULE,,,85,,57.8,PERCENTAGE OF TOTAL BILLED CHARGES,,162.52,286.51,
BURNS DRESS-DEB /MED 5.10% BODY,16025,CPT,,,,BOTH,,,268,134,180.58,,,,FEE SCHEDULE,,162.52,,,,FEE SCHEDULE,,286.51,,,,FEE SCHEDULE,,180.58,,,,FEE SCHEDULE,,,85,,227.8,PERCENTAGE OF TOTAL BILLED CHARGES,,162.52,286.51,
BURNS MED/OR DEBRI,16025,CPT,,,,BOTH,,,268,134,180.58,,,,FEE SCHEDULE,,162.52,,,,FEE SCHEDULE,,286.51,,,,FEE SCHEDULE,,180.58,,,,FEE SCHEDULE,,,85,,227.8,PERCENTAGE OF TOTAL BILLED CHARGES,,162.52,286.51,
BURNS DRESSING-DEB/ MEDIUM 5-10% BODY,16025,CPT,,,,BOTH,,,268,134,180.58,,,,FEE SCHEDULE,,162.52,,,,FEE SCHEDULE,,286.51,,,,FEE SCHEDULE,,180.58,,,,FEE SCHEDULE,,,85,,227.8,PERCENTAGE OF TOTAL BILLED CHARGES,,162.52,286.51,
DEBRIDEMENT / MED,16025,CPT,,,,BOTH,,,83,41.5,180.58,,,,FEE SCHEDULE,,162.52,,,,FEE SCHEDULE,,286.51,,,,FEE SCHEDULE,,180.58,,,,FEE SCHEDULE,,,85,,70.55,PERCENTAGE OF TOTAL BILLED CHARGES,,162.52,286.51,
BURNS DRESS-DEB/LARGE >10% BODY,16030,CPT,,,,BOTH,,,323,161.5,373.07,,,,FEE SCHEDULE,,335.76,,,,FEE SCHEDULE,,286.51,,,,FEE SCHEDULE,,373.07,,,,FEE SCHEDULE,,,85,,274.55,PERCENTAGE OF TOTAL BILLED CHARGES,,286.51,373.07,
BURNS LG ANDDEBRID,16030,CPT,,,,BOTH,,,323,161.5,373.07,,,,FEE SCHEDULE,,335.76,,,,FEE SCHEDULE,,286.51,,,,FEE SCHEDULE,,373.07,,,,FEE SCHEDULE,,,85,,274.55,PERCENTAGE OF TOTAL BILLED CHARGES,,286.51,373.07,
BURNS DRESSING-DEB/LARGE >10% BODY,16030,CPT,,,,BOTH,,,323,161.5,373.07,,,,FEE SCHEDULE,,335.76,,,,FEE SCHEDULE,,286.51,,,,FEE SCHEDULE,,373.07,,,,FEE SCHEDULE,,,85,,274.55,PERCENTAGE OF TOTAL BILLED CHARGES,,286.51,373.07,
DEBRIDEMENT / LARGE,16030,CPT,,,,BOTH,,,98,49,373.07,,,,FEE SCHEDULE,,335.76,,,,FEE SCHEDULE,,286.51,,,,FEE SCHEDULE,,373.07,,,,FEE SCHEDULE,,,85,,83.3,PERCENTAGE OF TOTAL BILLED CHARGES,,286.51,373.07,
CHEMICAL CAUTERY W,17250,CPT,,,,BOTH,,,89,44.5,180.58,,,,FEE SCHEDULE,,162.52,,,,FEE SCHEDULE,,,,,,FEE SCHEDULE,,180.58,,,,FEE SCHEDULE,,,85,,75.65,PERCENTAGE OF TOTAL BILLED CHARGES,,162.52,180.58,
BREAST LOCALIZATION DEVICE PLACEMENT,19285,CPT,,,,BOTH,,,202,101,648.97,,,,FEE SCHEDULE,,584.07,,,,FEE SCHEDULE,,,,,,FEE SCHEDULE,,648.97,,,,FEE SCHEDULE,,,85,,171.7,PERCENTAGE OF TOTAL BILLED CHARGES,,584.07,648.97,
MUSCLE BIOPSY DEEP,20205,CPT,,,,BOTH,,,2387.68,1193.84,2583.25,,,,FEE SCHEDULE,,2324.93,,,,FEE SCHEDULE,,383.49,,,,FEE SCHEDULE,,2583.25,,,,FEE SCHEDULE,,,85,,2029.528,PERCENTAGE OF TOTAL BILLED CHARGES,,383.49,2583.25,
FB MUSCLE SIMPLE -ER,20520,CPT,,,,BOTH,,,353,176.5,1499.55,,,,FEE SCHEDULE,,1349.6,,,,FEE SCHEDULE,,286.51,,,,FEE SCHEDULE,,1499.55,,,,FEE SCHEDULE,,,85,,300.05,PERCENTAGE OF TOTAL BILLED CHARGES,,286.51,1499.55,
FB MUSCLE SIMPLE - PHY,20520,CPT,,,,BOTH,,,353,176.5,1499.55,,,,FEE SCHEDULE,,1349.6,,,,FEE SCHEDULE,,286.51,,,,FEE SCHEDULE,,1499.55,,,,FEE SCHEDULE,,,85,,300.05,PERCENTAGE OF TOTAL BILLED CHARGES,,286.51,1499.55,
FB REM SOFT TISSUE,20520,CPT,,,,BOTH,,,353,176.5,1499.55,,,,FEE SCHEDULE,,1349.6,,,,FEE SCHEDULE,,286.51,,,,FEE SCHEDULE,,1499.55,,,,FEE SCHEDULE,,,85,,300.05,PERCENTAGE OF TOTAL BILLED CHARGES,,286.51,1499.55,
FB MUSCLE DEEP/COM - PHY,20525,CPT,,,,BOTH,,,596,298,2583.25,,,,FEE SCHEDULE,,2324.93,,,,FEE SCHEDULE,,440.8,,,,FEE SCHEDULE,,2583.25,,,,FEE SCHEDULE,,,85,,506.6,PERCENTAGE OF TOTAL BILLED CHARGES,,440.8,2583.25,
DURSA NER INJ -ER,20550,CPT,,,,BOTH,,,97,48.5,2976.66,,,,FEE SCHEDULE,,2678.99,,,,FEE SCHEDULE,,,,,,FEE SCHEDULE,,2976.66,,,,FEE SCHEDULE,,,85,,82.45,PERCENTAGE OF TOTAL BILLED CHARGES,,2678.99,2976.66,
